idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
34,0.40509656222260015,1.8734347784647247,0.11360311508178711,0.026373863220214844,0.9716875079930616,1.0527838966735623,0.9755760856921792
35,2.224388260913339,1.8170572874492723,0.08308601379394531,0.024873018264770508,0.8708705163899122,1.0125845193556948,0.8752996417953897
36,8.548690425354845,1.4678789717306815,0.08727812767028809,0.025968313217163086,0.7618273287322881,0.7147074799523744,0.7144255568984638
37,0.6771971427217536,1.562767784043993,0.1264328956604004,0.022983074188232422,0.9593199018800511,0.7845588693896784,0.9535385713059815
38,3.006578201890168,2.32383302945379,0.08591794967651367,0.02580094337463379,0.9107351873015361,1.0381046560178655,0.9064987752132526
39,5.614618308178656,2.567796418212827,0.08935976028442383,0.021867036819458008,1.1795709769163107,0.9995182829153296,1.0258095756394574
40,6.6767040492411365,1.812773722880141,0.07837605476379395,0.022855281829833984,0.9160150618560515,1.0097176883401908,0.8147963411771685
41,8.158801808193743,1.3339458398154078,0.08881092071533203,0.033197879791259766,0.45491753587585926,0.6292467396572176,0.5516718921437914
42,0.3248495240252187,1.1800957215512835,0.28408002853393555,0.022193193435668945,0.9700807800314386,0.6554326469929713,0.9699266382088482
43,7.251357570904858,1.9237544605027748,0.0847940444946289,0.03494095802307129,0.907172801161753,1.142374268956094,0.8287803066803431
44,1.6965906124326577,2.002089550206727,0.09298276901245117,0.03744077682495117,0.9105857016786227,1.5109573610955072,0.9148622752003426
45,1.6078898168603675,2.392640750155472,0.23042583465576172,0.03654289245605469,0.9346594320222971,1.0183681136034288,0.9452689107521917
46,4.516947128182904,1.762042452192965,0.09415912628173828,0.03339695930480957,0.8575827030742156,0.9707179347405278,0.8026538734871045
47,3.084969682563978,2.260565186237777,0.08321166038513184,0.030124902725219727,0.8936783922319325,1.086532442563707,0.8835976572643119
48,3.6819448444785654,1.175299838632202,0.1408839225769043,0.02638530731201172,0.6893589353657256,0.6704710238449367,0.7239234898459799
49,1.2682584309931018,2.923795329099029,0.08892107009887695,0.028577089309692383,0.9910601271746986,1.0062677298001352,0.9808993039517875
50,9.09494883800531,2.3994142676214993,0.07840609550476074,0.03283882141113281,1.4080482068876148,1.0168893344144412,1.1579105885668346
51,2.732112618449244,2.9383527546954475,0.0882418155670166,0.031652212142944336,1.0529908324919417,1.0082842079170613,0.9912595828644597
52,7.809633949261367,2.433780378317991,0.1025090217590332,0.02625894546508789,1.3002222469838298,1.0120241007696391,1.1016095955958178
53,4.548678871223508,1.544483123690318,0.09857892990112305,0.02538585662841797,0.8318105429052465,0.7726230521898723,0.7942311233413558
54,1.054270525319643,2.8052047930876833,0.12316322326660156,0.0462498664855957,0.9859316327317714,0.9952491569460461,0.977165429927088
55,4.61218526935275,1.4047267295904606,0.08995294570922852,0.0540311336517334,0.6840553624217329,0.6527089042854144,0.7158210807001627
56,3.12897057909146,2.158439137883792,0.08743810653686523,0.03309202194213867,0.875060747377141,1.192774712929766,0.8642989492134634
57,1.850050551098394,2.7132285681847508,0.09004902839660645,0.028795957565307617,0.9909013411415464,0.9937853608782713,0.9588871006409005
58,7.60934334536858,2.4389259119018734,0.08687496185302734,0.02752208709716797,1.2837526154690777,1.0113900095938662,1.0929787132605484
59,4.377721093773527,2.2546176814048864,0.08349919319152832,0.023261070251464844,0.9137562088360446,1.0936111453834758,0.8777036257094186
60,5.8825698922360825,2.2996932031096398,0.09095907211303711,0.0246427059173584,1.0203618005976693,1.0514105086037848,0.9357072671422395
61,0.935998779284902,1.8316148043412193,0.12493705749511719,0.022459983825683594,0.9350444612177972,1.022635195426417,0.9416642179990313
62,0.5119803212327355,1.9879816384890379,0.12693476676940918,0.022496938705444336,0.968952331864532,1.4339334974964684,0.9716449392196166
63,3.3656260020945745,1.2890483777320938,0.0805959701538086,0.024475812911987305,0.7032787324989188,0.6447068902997499,0.7358277344993019
64,1.1236893804532613,2.175289144355424,0.12192082405090332,0.02332782745361328,0.9352776788156205,1.1831945656024274,0.9372521728473897
65,1.7888703885151724,2.8502402367535944,0.09196710586547852,0.024917125701904297,1.0004131491972483,0.9984790363277173,0.97573862108285
